minute,player_id,player,receiver_id,receiver,x,y
37,99165.0,Danny Ward,301441.0,James Justin,26.6,49.3
37,97710.0,Conor Coady,87182.0,Jannik Vestergaard,30.9,9.5
37,87182.0,Jannik Vestergaard,364215.0,Oliver Skipp,33.8,45.7
37,364215.0,Oliver Skipp,87182.0,Jannik Vestergaard,42.4,38.3
37,87182.0,Jannik Vestergaard,97710.0,Conor Coady,37.5,33.4
37,97710.0,Conor Coady,67491.0,Jordan Ayew,44.1,5.0
37,67491.0,Jordan Ayew,364215.0,Oliver Skipp,61.8,10.6
37,364215.0,Oliver Skipp,97710.0,Conor Coady,46.4,13.5
37,97710.0,Conor Coady,87182.0,Jannik Vestergaard,35.7,21.6
37,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,34.7,48.1
38,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,68.5,100.0
38,345664.0,Boubakary Soumaré,364215.0,Oliver Skipp,61.6,82.6
38,364215.0,Oliver Skipp,97710.0,Conor Coady,53.4,52.1
38,97710.0,Conor Coady,87182.0,Jannik Vestergaard,52.8,28.0
38,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,53.3,59.6
38,345664.0,Boubakary Soumaré,433572.0,Bilal El Khannouss,58.8,61.7
38,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,70.8,68.4
38,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,64.2,87.5
38,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,73.0,87.1
39,364215.0,Oliver Skipp,318750.0,Stephy Mavididi,17.6,62.9
39,345664.0,Boubakary Soumaré,99165.0,Danny Ward,19.0,73.8
39,99165.0,Danny Ward,97710.0,Conor Coady,3.0,50.7
39,97710.0,Conor Coady,345664.0,Boubakary Soumaré,36.5,17.1
39,345664.0,Boubakary Soumaré,364215.0,Oliver Skipp,40.1,30.0
39,364215.0,Oliver Skipp,301441.0,James Justin,59.0,17.9
39,301441.0,James Justin,364215.0,Oliver Skipp,70.3,6.7
39,364215.0,Oliver Skipp,345664.0,Boubakary Soumaré,61.8,12.0
39,345664.0,Boubakary Soumaré,433572.0,Bilal El Khannouss,56.4,33.4
40,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,34.4,100.0
40,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,33.8,82.0
40,345664.0,Boubakary Soumaré,87182.0,Jannik Vestergaard,45.6,72.3
40,87182.0,Jannik Vestergaard,364215.0,Oliver Skipp,38.9,61.4
40,364215.0,Oliver Skipp,67491.0,Jordan Ayew,48.1,47.0
40,67491.0,Jordan Ayew,301441.0,James Justin,70.4,16.8
40,345664.0,Boubakary Soumaré,433572.0,Bilal El Khannouss,32.3,89.7
41,99165.0,Danny Ward,416970.0,Victor Kristiansen,8.7,76.0
41,416970.0,Victor Kristiansen,345664.0,Boubakary Soumaré,26.3,83.2
41,345664.0,Boubakary Soumaré,364215.0,Oliver Skipp,32.4,64.6
42,364215.0,Oliver Skipp,301441.0,James Justin,49.2,18.3
42,301441.0,James Justin,97710.0,Conor Coady,56.6,4.3
42,97710.0,Conor Coady,345664.0,Boubakary Soumaré,46.9,30.0
42,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,58.9,71.8
44,433572.0,Bilal El Khannouss,99165.0,Danny Ward,50.2,50.0
44,99165.0,Danny Ward,301441.0,James Justin,29.8,44.2
44,301441.0,James Justin,106981.0,Jamie Vardy,70.4,6.2
45,364215.0,Oliver Skipp,106981.0,Jamie Vardy,33.6,9.7
45,106981.0,Jamie Vardy,433572.0,Bilal El Khannouss,74.8,19.5
46,301441.0,James Justin,364215.0,Oliver Skipp,58.7,0.0
46,364215.0,Oliver Skipp,301441.0,James Justin,60.3,11.3
